[(1/2, 0, 0, 5/2), (0, 1/690, 1/6, 49/115), (0, 0, 3, 0), (0, 0, 0, 5)]
[(1/2, 0, 13/8, 9/8), (0, 1/598, 309/104, 531/184), (0, 0, 13/4, 9/4), (0, 0, 0, 4)]
[(1/2, 0, 3/8, 121/8), (0, 1/828, 65/144, 4279/1104), (0, 0, 3/4, 25/4), (0, 0, 0, 24)]
[(1/2, 0, 0, 1/2), (0, 1/552, 5/24, 18/23), (0, 0, 12, 0), (0, 0, 0, 1)]
[(1/2, 1/1610, 1/7, 34003/805), (0, 1/805, 1/28, 139199/3220), (0, 0, 1/4, 165/4), (0, 0, 0, 70)]
[(1/2, 1/1794, 41/78, 1225/598), (0, 1/897, 41/39, 1225/299), (0, 0, 3/2, 21/2), (0, 0, 0, 13)]
[(1/2, 1/2162, 6/47, 27540/1081), (0, 1/1081, 12/47, 4273/1081), (0, 0, 1/2, 3/2), (0, 0, 0, 47)]
[(1/2, 0, 1/8, 109/8), (0, 1/598, 7/104, 74109/2392), (0, 0, 1/4, 109/4), (0, 0, 0, 52)]
[(1/2, 1/2714, 25/59, 30852/1357), (0, 1/1357, 41/118, 116623/2714), (0, 0, 1/2, 5/2), (0, 0, 0, 59)]
[(1/2, 0, 3/8, 89/8), (0, 1/414, 43/72, 5245/552), (0, 0, 3/4, 41/4), (0, 0, 0, 12)]
[(1/2, 1/782, 3/34, 21017/782), (0, 1/391, 3/17, 7723/391), (0, 0, 1/4, 13/4), (0, 0, 0, 34)]
[(1/2, 1/1978, 7/43, 28161/989), (0, 1/989, 14/43, 13795/989), (0, 0, 1/2, 77/2), (0, 0, 0, 43)]
[(1/2, 0, 0, 1/2), (0, 1/92, 3/4, 16/23), (0, 0, 2, 0), (0, 0, 0, 1)]
[(1/2, 1/1978, 6/43, 18179/989), (0, 1/989, 12/43, 36358/989), (0, 0, 1/2, 35/2), (0, 0, 0, 43)]
[(1/2, 1/690, 4/3, 49/115), (0, 1/345, 7/6, 771/230), (0, 0, 3/2, 5/2), (0, 0, 0, 5)]
[(1/2, 1/1978, 12/43, 36579/989), (0, 1/989, 5/86, 54339/1978), (0, 0, 1/2, 7/2), (0, 0, 0, 43)]
[(1/2, 1/138, 2/3, 26/23), (0, 1/69, 7/12, 47/92), (0, 0, 3/4, 7/4), (0, 0, 0, 2)]
[(1/2, 1/1518, 71/132, 17009/1012), (0, 1/759, 43/132, 19597/1012), (0, 0, 3/4, 57/4), (0, 0, 0, 22)]
[(1/2, 1/1242, 74/27, 8/23), (0, 1/621, 148/27, 16/23), (0, 0, 27/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/8, 237/8), (0, 1/644, 1/112, 12699/2576), (0, 0, 1/4, 13/4), (0, 0, 0, 56)]
[(1/2, 1/2530, 23/110, 96687/2530), (0, 1/1265, 23/55, 27112/1265), (0, 0, 1/2, 81/2), (0, 0, 0, 55)]
[(1/2, 0, 0, 1/2), (0, 1/414, 67/18, 1/23), (0, 0, 9, 0), (0, 0, 0, 1)]
[(1/2, 1/1242, 433/108, 9/92), (0, 1/621, 137/108, 41/92), (0, 0, 27/4, 7/4), (0, 0, 0, 2)]
[(1/2, 1/506, 9/44, 5165/1012), (0, 1/253, 7/44, 17667/1012), (0, 0, 1/4, 59/4), (0, 0, 0, 22)]
[(1/2, 1/2162, 19/94, 56759/2162), (0, 1/1081, 19/47, 5952/1081), (0, 0, 1/2, 73/2), (0, 0, 0, 47)]
[(1/2, 0, 0, 9/2), (0, 1/1242, 131/54, 1199/207), (0, 0, 3, 1), (0, 0, 0, 9)]
